Name,Longitude,Latitude,Ellipsoidal height,Antenna height,Easting,Northing,Code,Elevation
a4_001,7.689257511071486,46.47397551095026,2387.297121,2.0,399376.7168047669,5147546.209045213,EPSG:32632,2385.297121
a3_013,7.689396732022927,46.47392203998233,2387.184459,2.0,399387.3058897537,5147540.090338683,EPSG:32632,2385.184459
a3_014,7.689231061050523,46.47399284958793,2387.559469,2.0,399374.71826569806,5147548.169308294,EPSG:32632,2385.559469
a3_012,7.689178340113159,46.47386567801882,2386.964206,2.0,399370.43657249527,5147534.105829798,EPSG:32632,2384.964206
a3_011,7.689344213116,46.47379429526728,2388.554501,2.0,399383.038674165,5147525.962909631,EPSG:32632,2386.554501
a3_010,7.689118352930045,46.473744704921685,2392.08877,2.0,399365.6084744673,5147520.740350427,EPSG:32632,2390.08877
a3_009,7.689276486790347,46.47367818443343,2393.693298,2.0,399377.6254436666,5147513.147545581,EPSG:32632,2391.693298
a3_008,7.689039449857301,46.47363160739484,2399.222772,2.0,399359.34274192835,5147508.274060664,EPSG:32632,2397.222772
a3_007,7.689198550283637,46.47356078341982,2399.930763,2.0,399371.42599721346,5147500.201832333,EPSG:32632,2397.930763
a3_006,7.688968671094104,46.47351805155766,2406.813501,2.0,399353.69982769125,5147495.74650303,EPSG:32632,2404.813501
a3_005,7.68913245732781,46.47344663386846,2406.840804,2.0,399366.14172815846,5147487.602325241,EPSG:32632,2404.840804
a3_004,7.688897431235196,46.473412496696014,2414.884322,2.0,399348.03624654573,5147484.108563495,EPSG:32632,2412.884322
a3_003,7.689060027619182,46.4733422025606,2414.235845,2.0,399360.3888929973,5147476.090733344,EPSG:32632,2412.235845
a3_002,7.688836536750295,46.4733019172724,2423.282701,2.0,399343.15757756354,5147471.899146857,EPSG:32632,2421.282701
a3_001,7.689000026833531,46.47323570072245,2420.88053,2.0,399355.5863694532,5147464.33324823,EPSG:32632,2418.88053
a2_013,7.689001438953298,46.47323395541392,2421.074104,2.0,399355.69155793265,5147464.137520107,EPSG:32632,2419.074104
a2_014,7.689177996597776,46.47318457139211,2423.54256,2.0,399369.1545900281,5147458.425344462,EPSG:32632,2421.54256
a2_012,7.689232943290694,46.47329281757168,2415.712171,2.0,399373.57231174235,5147470.3830986265,EPSG:32632,2413.712171
a2_011,7.689053423460818,46.47334497296514,2414.034843,2.0,399359.88701016456,5147476.4069780195,EPSG:32632,2412.034843
a2_010,7.689285897156443,46.47339690398466,2408.469127,2.0,399377.82936331764,5147481.881182928,EPSG:32632,2406.469127
a2_009,7.689111989089569,46.47345284348943,2406.746459,2.0,399364.5818656856,5147488.318375544,EPSG:32632,2404.746459
a2_008,7.689341703830322,46.473505906514966,2401.628889,2.0,399382.3144661989,5147493.9218898,EPSG:32632,2399.628889
a2_007,7.689166783738961,46.473560015366175,2399.845016,2.0,399368.9859250353,5147500.156949608,EPSG:32632,2397.845016
a2_006,7.689402042009665,46.4736183657098,2395.163466,2.0,399387.1537981516,5147506.340915443,EPSG:32632,2393.163466
a2_005,7.689228540695767,46.473673559920144,2394.145382,2.0,399373.9361975967,5147512.694757414,EPSG:32632,2392.145382
a2_004,7.689465552664918,46.473732151056026,2390.633246,2.0,399392.239099713,5147518.903260003,EPSG:32632,2388.633246
a2_003,7.689296360335012,46.47378844613562,2389.214381,2.0,399379.3543424454,5147525.373926404,EPSG:32632,2387.214381
a2_002,7.68954271648498,46.4738530416592,2389.859196,2.0,399398.385597843,5147532.237722342,EPSG:32632,2387.859196
a2_001,7.689366603937803,46.47390454492948,2387.168333,2.0,399384.960782683,5147538.184748535,EPSG:32632,2385.168333
a1_014,7.689542097425917,46.47385271300891,2389.851414,2.0,399398.33746843104,5147532.201992723,EPSG:32632,2387.851414
a1_013,7.68971615494566,46.47379488863598,2391.574511,2.0,399411.5929013437,5147525.555245751,EPSG:32632,2389.574511
a1_012,7.689468600394093,46.47373042373369,2390.595329,2.0,399392.4698836587,5147518.707448303,EPSG:32632,2388.595329
a1_011,7.689639076351143,46.47367245486292,2392.627919,2.0,399405.4501253607,5147512.049193203,EPSG:32632,2390.627919
a1_010,7.689402239300341,46.47361222364727,2395.382735,2.0,399387.15762286424,5147505.65819108,EPSG:32632,2393.382735
a1_009,7.689565920249658,46.473550109683536,2396.731667,2.0,399399.60860884405,5147498.547996397,EPSG:32632,2394.731667
a1_008,7.689337758955485,46.4734985302466,2401.84512,2.0,399381.998029077,5147493.107302106,EPSG:32632,2399.84512
a1_007,7.689509662876572,46.473437260720246,2402.813764,2.0,399395.081855218,5147486.080456059,EPSG:32632,2400.813764
a1_006,7.689282095910797,46.47338239840504,2409.379122,2.0,399377.5108094849,5147480.274241655,EPSG:32632,2407.379122
a1_005,7.68945943588111,46.473326169708535,2410.355971,2.0,399391.0212666306,5147473.800574273,EPSG:32632,2408.355971
a1_004,7.689216968382489,46.473274273763934,2416.971918,2.0,399372.31175875256,5147468.342955749,EPSG:32632,2414.971918
a1_003,7.689390971552975,46.47322271248961,2418.475323,2.0,399385.5746794975,5147462.392145383,EPSG:32632,2416.475323
a1_001,7.689333855122362,46.4731195063232,2426.414138,2.0,399380.9996987487,5147450.997165296,EPSG:32632,2424.414138
a1_002,7.689154375419526,46.4731658770902,2424.837581,2.0,399367.3067621718,5147456.378219195,EPSG:32632,2422.837581
