Name,Longitude,Latitude,Ellipsoidal height,Antenna height
a2-014,7.689177996597776,46.47318457139211,2423.54256,2.0
a2-012,7.689232943290694,46.47329281757168,2415.712171,2.0
a2-011,7.689053423460818,46.47334497296514,2414.034843,2.0
a2-010,7.689285897156443,46.47339690398466,2408.469127,2.0
a2-009,7.689111989089569,46.47345284348943,2406.746459,2.0
a2-008,7.689341703830322,46.473505906514966,2401.628889,2.0
a2-007,7.689166783738961,46.473560015366175,2399.845016,2.0
a2-006,7.689402042009665,46.4736183657098,2395.163466,2.0
a2-005,7.689228540695767,46.473673559920144,2394.145382,2.0
a2-004,7.689465552664918,46.473732151056026,2390.633246,2.0
a2-003,7.689296360335012,46.47378844613562,2389.214381,2.0
a2-002,7.68954271648498,46.4738530416592,2389.859196,2.0
a2-001,7.689366603937803,46.47390454492948,2387.168333,2.0
a1-014,7.689542097425917,46.47385271300891,2389.851414,2.0
a1-013,7.68971615494566,46.47379488863598,2391.574511,2.0
a1-012,7.689468600394093,46.47373042373369,2390.595329,2.0
a1-011,7.689639076351143,46.47367245486292,2392.627919,2.0
a1-010,7.689402239300341,46.47361222364727,2395.382735,2.0
a1-009,7.689565920249658,46.473550109683536,2396.731667,2.0
a1-008,7.689337758955485,46.4734985302466,2401.84512,2.0
a1-007,7.689509662876572,46.473437260720246,2402.813764,2.0
a1-006,7.689282095910797,46.47338239840504,2409.379122,2.0
a1-005,7.68945943588111,46.473326169708535,2410.355971,2.0
a1-004,7.689216968382489,46.473274273763934,2416.971918,2.0
a1-003,7.689390971552975,46.47322271248961,2418.475323,2.0
a1-001,7.689333855122362,46.4731195063232,2426.414138,2.0
a1-002,7.689154375419526,46.4731658770902,2424.837581,2.0
